,Year,Month,Country_of_origin,Imports_hardcoal_tonnes,Imports_hardcoal_gigajoules,Average_calorificvalue_hardcoal,Imports_hardcoal_euros,Imports_hardcoal_eurospert,Imports_of_hard_coal_in_euros/tce
0,2004,January,EU countries,3280.0,61556.0,18767.0,116541.0,35.53,55.49
1,2004,January,Third countries,3586305.0,95536615.0,26639.0,150263584.0,41.9,46.1
2,2004,January,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
3,2004,January,Russian Federation,301727.0,7822842.0,25927.0,12736439.0,42.21,47.72
4,2004,January,South Africa,1059709.0,26718972.0,25213.0,37711705.0,35.59,41.37
5,2004,January,United States,,,,,,
6,2004,January,Canada,,,,,,
7,2004,January,Colombia,396707.0,10040628.0,25310.0,17243556.0,43.47,50.33
8,2004,January,Australia,555276.0,15937317.0,28702.0,25848606.0,46.55,47.53
9,2004,January,Other third countries,1018059.0,27458581.0,26972.0,44739402.0,43.95,47.75
10,2004,February,EU countries,2309.0,70474.0,30521.0,109821.0,47.56,45.67
11,2004,February,Third countries,3125709.0,82698651.0,26458.0,137746495.0,44.07,48.81
12,2004,February,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
13,2004,February,Russian Federation,350186.0,9010199.0,25730.0,15850427.0,45.26,51.56
14,2004,February,South Africa,827540.0,20830500.0,25172.0,30792565.0,37.21,43.32
15,2004,February,United States,,,,,,
16,2004,February,Canada,,,,,,
17,2004,February,Colombia,366115.0,9207940.0,25150.0,18509230.0,50.56,58.91
18,2004,February,Australia,332236.0,9874521.0,29721.0,15750047.0,47.41,46.75
19,2004,February,Other third countries,1071156.0,28576631.0,26678.0,48356801.0,45.14,49.59
20,2004,March,EU countries,2927.0,57303.0,19577.0,103947.0,35.51,53.16
21,2004,March,Third countries,3083054.0,82849764.0,26873.0,144523157.0,46.88,51.12
22,2004,March,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
23,2004,March,Russian Federation,540660.0,13847279.0,25612.0,25967338.0,48.03,54.96
24,2004,March,South Africa,689649.0,17386749.0,25211.0,26306777.0,38.15,44.34
25,2004,March,United States,,,,,,
26,2004,March,Canada,,,,,,
27,2004,March,Colombia,289315.0,7307262.0,25257.0,14918533.0,51.57,59.84
28,2004,March,Australia,370512.0,11279887.0,30444.0,18553519.0,50.08,48.21
29,2004,March,Other third countries,897067.0,24201125.0,26978.0,44271109.0,49.35,53.61
30,2004,April,EU countries,20230.0,430782.0,21294.0,870765.0,43.04,59.24
31,2004,April,Third countries,2942840.0,77989874.0,26502.0,144591973.0,49.13,54.34
32,2004,April,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
33,2004,April,Russian Federation,377840.0,9573181.0,25337.0,21740955.0,57.54,66.56
34,2004,April,South Africa,1117348.0,28140813.0,25185.0,45429178.0,40.66,47.31
35,2004,April,United States,,,,,,
36,2004,April,Canada,,,,,,
37,2004,April,Colombia,279391.0,7252540.0,25958.0,14903905.0,53.34,60.23
38,2004,April,Australia,158590.0,4838148.0,30507.0,8742460.0,55.13,52.96
39,2004,April,Other third countries,666421.0,18214991.0,27333.0,36846926.0,55.29,59.29
40,2004,May,EU countries,647533.0,17408640.0,26885.0,34778956.0,53.71,58.55
41,2004,May,Third countries,2311289.0,62875780.0,27204.0,117159451.0,50.69,54.61
42,2004,May,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
43,2004,May,Russian Federation,463682.0,12049747.0,25987.0,27611474.0,59.55,67.16
44,2004,May,South Africa,679963.0,17120686.0,25179.0,26806072.0,39.42,45.89
45,2004,May,United States,,,,,,
46,2004,May,Canada,,,,,,
47,2004,May,Colombia,298281.0,7632391.0,25588.0,16592918.0,55.63,63.72
48,2004,May,Australia,415043.0,13420287.0,32335.0,25027435.0,60.3,54.66
49,2004,May,Other third countries,245416.0,6470996.0,26367.0,10045544.0,40.93,45.5
50,2004,June,EU countries,816009.0,21146482.0,25915.0,40172480.0,49.23,55.68
51,2004,June,Third countries,2176297.0,59172814.0,27190.0,125740821.0,57.78,62.28
52,2004,June,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
53,2004,June,Russian Federation,595496.0,15382708.0,25832.0,35004462.0,58.78,66.69
54,2004,June,South Africa,534285.0,13446079.0,25166.0,23156074.0,43.34,50.47
55,2004,June,United States,,,,,,
56,2004,June,Canada,,,,,,
57,2004,June,Colombia,248183.0,6402869.0,25799.0,15535891.0,62.6,71.11
58,2004,June,Australia,386619.0,11991740.0,31017.0,26480105.0,68.49,64.72
59,2004,June,Other third countries,84038.0,2380527.0,28327.0,4829606.0,57.47,59.46
60,2004,July,EU countries,693211.0,18083314.0,26086.0,40491268.0,58.41,65.63
61,2004,July,Third countries,2335746.0,63203084.0,27059.0,127784331.0,54.71,59.26
62,2004,July,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
63,2004,July,Russian Federation,530969.0,13707650.0,25816.0,28972538.0,54.57,61.95
64,2004,July,South Africa,618808.0,15553216.0,25134.0,25516995.0,41.24,48.08
65,2004,July,United States,,,,,,
66,2004,July,Canada,,,,,,
67,2004,July,Colombia,498474.0,13131462.0,26343.0,29302485.0,58.78,65.4
68,2004,July,Australia,296576.0,9079732.0,30615.0,20141456.0,67.91,65.01
69,2004,July,Other third countries,182728.0,5369025.0,29383.0,11068892.0,60.58,60.42
70,2004,August,EU countries,655412.0,17170031.0,26197.0,42826327.0,65.34,73.1
71,2004,August,Third countries,2184994.0,58828816.0,26924.0,128641190.0,58.87,64.09
72,2004,August,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
73,2004,August,Russian Federation,479341.0,12171140.0,25391.0,27888228.0,58.18,67.15
74,2004,August,South Africa,698341.0,17626673.0,25241.0,31653774.0,45.33,52.63
75,2004,August,United States,,,,,,
76,2004,August,Canada,,,,,,
77,2004,August,Colombia,265829.0,6676255.0,25115.0,16429389.0,61.8,72.12
